,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,status,newDevelopment,hasLift,geometry
9142,1,2300.0,flat,rent,45.0,False,1,1,Paseo de la Florida,Madrid,Madrid,Moncloa,Casa de Campo,40.4230678,-3.7224844,False,https://www.idealista.com/inmueble/87326880/,unspecified,False,False,"{'type': 'Point', 'coordinates': (40.4230678, -3.7224844)}"
9143,2,2600.0,flat,rent,140.0,True,3,2,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4227802,-3.6883836,False,https://www.idealista.com/inmueble/87324035/,good,False,True,"{'type': 'Point', 'coordinates': (40.4227802, -3.6883836)}"
9144,3,1200.0,flat,rent,60.0,True,2,1,Quiñones,Madrid,Madrid,Centro,Malasaña-Universidad,40.4256843,-3.7085772,False,https://www.idealista.com/inmueble/87204714/,good,False,False,"{'type': 'Point', 'coordinates': (40.4256843, -3.7085772)}"
9145,4,1300.0,flat,rent,52.0,False,3,1,Calle del Ave María,Madrid,Madrid,Centro,Lavapiés-Embajadores,40.4119398,-3.7016379,False,https://www.idealista.com/inmueble/87288810/,good,False,True,"{'type': 'Point', 'coordinates': (40.4119398, -3.7016379)}"
9146,4,2580.0,flat,rent,130.0,True,2,2,Velazquez,Madrid,Madrid,Salamanca,Recoletos,40.4263002,-3.6825326,False,https://www.idealista.com/inmueble/87276790/,good,False,True,"{'type': 'Point', 'coordinates': (40.4263002, -3.6825326)}"
9147,1,3000.0,flat,rent,156.0,True,4,3,Almirante,Madrid,Madrid,Centro,Chueca-Justicia,40.423461,-3.6953189,False,https://www.idealista.com/inmueble/87269147/,good,False,True,"{'type': 'Point', 'coordinates': (40.423461, -3.6953189)}"
9149,4,1150.0,flat,rent,60.0,False,2,1,Calle del Doctor Castelo,Madrid,Madrid,Retiro,Ibiza,40.421198,-3.6799636,False,https://www.idealista.com/inmueble/87246163/,good,False,True,"{'type': 'Point', 'coordinates': (40.421198, -3.6799636)}"
9151,2,1100.0,flat,rent,85.0,True,3,1,Calle Laurel,Madrid,Madrid,Arganzuela,Acacias,40.4052041,-3.7053245,False,https://www.idealista.com/inmueble/87210360/,good,False,True,"{'type': 'Point', 'coordinates': (40.4052041, -3.7053245)}"
9154,4,2000.0,flat,rent,81.0,True,1,1,Calle de la Libertad,Madrid,Madrid,Centro,Chueca-Justicia,40.4218676,-3.6961913,False,https://www.idealista.com/inmueble/87188983/,good,False,True,"{'type': 'Point', 'coordinates': (40.4218676, -3.6961913)}"
9155,4,2100.0,flat,rent,98.0,True,1,1,Calle de la Libertad,Madrid,Madrid,Centro,Chueca-Justicia,40.4230676,-3.6954913,False,https://www.idealista.com/inmueble/87188852/,good,False,True,"{'type': 'Point', 'coordinates': (40.4230676, -3.6954913)}"
9157,1,1050.0,flat,rent,75.0,True,1,1,Paseo Castellana,Madrid,Madrid,Chamartín,Castilla,40.4752432,-3.6860027,False,https://www.idealista.com/inmueble/25441116/,good,False,True,"{'type': 'Point', 'coordinates': (40.4752432, -3.6860027)}"
9158,4,1030.0,flat,rent,45.0,False,1,1,general martinez campos,Madrid,Madrid,Chamberí,Almagro,40.4335966,-3.6930731,False,https://www.idealista.com/inmueble/87142810/,good,False,True,"{'type': 'Point', 'coordinates': (40.4335966, -3.6930731)}"
9163,3,4500.0,flat,rent,370.0,True,5,5,Jose Abasca,Madrid,Madrid,Chamberí,Almagro,40.4380867,-3.6947094,False,https://www.idealista.com/inmueble/87078801/,good,False,True,"{'type': 'Point', 'coordinates': (40.4380867, -3.6947094)}"
9164,10,2200.0,flat,rent,170.0,True,4,2,Calle de san ramón nonato,Madrid,Madrid,Chamartín,Castilla,40.4679745,-3.6900791,False,https://www.idealista.com/inmueble/31460858/,good,False,True,"{'type': 'Point', 'coordinates': (40.4679745, -3.6900791)}"
9165,5,1000.0,flat,rent,63.0,True,1,1,Calle Roncesvalles,Madrid,Madrid,Retiro,Niño Jesús,40.407203,-3.6795383,False,https://www.idealista.com/inmueble/87043088/,good,False,True,"{'type': 'Point', 'coordinates': (40.407203, -3.6795383)}"
9167,7,3000.0,duplex,rent,145.0,True,3,2,Santa Barbara,Madrid,Madrid,Centro,Chueca-Justicia,40.426073,-3.695583,False,https://www.idealista.com/inmueble/86992813/,good,False,True,"{'type': 'Point', 'coordinates': (40.426073, -3.695583)}"
